src_ip_dec,src_port,dst_ip_dec,dst_port,protocol,timestamp,flow_duration,total_fwd_packet,total_bwd_packets,total_length_of_fwd_packet,total_length_of_bwd_packet,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_per_s,flow_packets_per_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_rst_flags,bwd_rst_flags,fwd_header_length,bwd_header_length,fwd_packets_per_s,bwd_packets_per_s,packet_length_min,packet_length_max,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwr_flag_count,ece_flag_count,down_per_up_ratio,average_packet_size,fwd_segment_size_avg,bwd_segment_size_avg,fwd_bytes_per_bulk_avg,fwd_packet_per_bulk_avg,fwd_bulk_rate_avg,bwd_bytes_per_bulk_avg,bwd_packet_per_bulk_avg,bwd_bulk_rate_avg,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,fwd_init_win_bytes,bwd_init_win_bytes,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,icmp_code,icmp_type,total_tcp_flow_time,label,attempted_category
3232238095,53058,3653510145,80,6,55:35.8,928849,15,20,686,29585,347,0,45.73333333,120.6994299,4380,0,1479.25,1045.832475,32589.79662,37.68104396,27319.08824,69533.20681,368251,14,883702,63121.57143,124970.3582,471077,102,826880,43520.0,110503.8427,471338,49,2,2,0,0,1,0,312,404,16.14901884,21.53202512,0,4380,864.8857143,1065.495349,1135280.339,2,2,1,4,34,0,0,0,1.333333333,864.8857143,45.73333333,1479.25,0,0,0,27919,15,269000,0,19,0,845,8192,31088,2,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,928849,BENIGN,-1
3232238083,61126,3232238081,53,17,19:26.8,23956,1,1,46,62,46,46,46.0,0.0,62,62,62.0,0.0,4508.265153,83.48639172,23956.0,0.0,23956,23956,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,41.74319586,41.74319586,46,62,54.0,11.3137085,128.0,0,0,0,0,0,0,0,0,1.0,54.0,46.0,62.0,0,0,0,0,0,0,0,23,0,31,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
3232238088,54531,3232238083,53,17,33:35.2,162,2,2,64,188,32,32,32.0,0.0,94,94,94.0,0.0,1555555.556,24691.35802,54.0,87.46999486,155,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,12345.67901,12345.67901,32,94,63.0,35.79571669,1281.333333,0,0,0,0,0,0,0,0,1.0,63.0,32.0,94.0,0,0,0,0,0,0,0,16,0,47,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
3232238131,42317,4294967295,3289,17,59:48.5,19,13,0,195,0,15,15,15.0,0.0,0,0,0.0,0.0,10263157.89,684210.5263,1.583333333,1.729862492,7,1,19,1.583333333,1.729862492,7,1,0,0.0,0.0,0,0,0,0,0,0,0,0,104,0,684210.5263,0.0,15,15,15.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,15.0,15.0,0.0,195,13,10263157,0,0,0,1,15,0,0,0,0,12,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
3232238092,59172,3232238083,53,17,58:54.6,181,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,508287.2928,22099.44751,60.33333333,98.43949072,174,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,0,0,16,16,11049.72376,11049.72376,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,23.0,23.0,23.0,0,0,0,0,0,0,0,11,0,11,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
3232238095,57592,226236287,443,6,36:41.5,5784007,10,9,346,5071,189,0,34.6,67.15355538,1460,0,563.4444444,669.8843391,936.5479675,3.284919953,321333.7222,1094795.852,4686324,3,5784007,642667.4444,1522482.579,4686324,4,5524237,690529.625,1743735.076,4996040,3,3,4,0,0,1,0,212,192,1.728905238,1.556014714,0,1460,285.1052632,524.6866678,275296.0994,2,2,1,7,18,0,0,0,0.9,285.1052632,34.6,563.4444444,0,0,0,4989,4,3414784,0,18,0,266,8192,110,3,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,5784007,BENIGN,-1
3232238130,26766,3232238083,53,17,05:19.6,161,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,571428.5714,24844.7205,53.66666667,91.22134253,159,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,0,0,16,16,12422.36025,12422.36025,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,23.0,23.0,23.0,0,0,0,0,0,0,0,11,0,11,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
3232238096,62516,3232238083,53,17,46:17.6,318,2,2,68,386,34,34,34.0,0.0,193,193,193.0,0.0,1427672.956,12578.61635,106.0,181.8653348,316,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,0,0,16,16,6289.308176,6289.308176,34,193,113.5,91.7986928,8427.0,0,0,0,0,0,0,0,0,1.0,113.5,34.0,193.0,0,0,0,0,0,0,0,17,0,96,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
2886729729,39646,3232238130,80,6,44:14.4,192157,8,6,359,11595,359,0,44.875,126.9256672,5792,0,1932.5,2362.781391,62209.5474,72.85709082,14781.30769,44239.95846,161091,4,192157,27451.0,65181.17306,174831,4,176667,35333.4,70643.05827,161176,67,1,1,0,0,3,0,240,200,41.63262332,31.22446749,0,5792,853.8571429,1759.433688,3095606.901,1,2,3,2,11,0,0,0,0.75,853.8571429,44.875,1932.5,0,0,0,11595,4,25766666,0,25,0,828,29200,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1090402264,DoS Hulk,-1
2886729729,27472,3232238130,80,6,05:48.5,4400560,9,7,20,13055,20,0,2.222222222,6.666666667,5840,0,1865.0,2738.906412,2971.212755,3.635900885,293370.6667,668428.1775,1969968,3,4400560,550070.0,1004940.51,2367656,170,2126951,354491.8333,754952.9147,1884560,3,1,1,0,0,1,0,204,152,2.045194248,1.590706637,0,5840,817.1875,1977.757964,3911526.563,2,2,1,2,15,0,0,0,0.777777778,817.1875,2.222222222,1865.0,0,0,0,0,0,0,0,1,0,815,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,4400560,DDoS,-1
